INFO  - 2018-04-08 17:31:51.137; com.turn.ttorrent.client.SharedTorrent;   ... 90% complete
DEBUG - 2018-04-08 17:31:51.150; com.turn.ttorrent.client.SharedTorrent; Notepad++ 6.8.7 - DailyApp.rar: we have 0/7067632 bytes (0.0%) [0/108 pieces].
INFO  - 2018-04-08 17:31:51.151; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:31:54.151; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:31:57.152; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:00.153; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:03.154; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:06.154; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:09.155; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:12.156; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:15.157; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:18.157; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:21.158; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:24.158; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:27.159; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:30.160; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:33.160; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:36.161; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:39.162; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:42.162; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:45.163; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:48.164; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:51.165; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:54.165; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:32:57.166; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:33:00.167; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
DEBUG - 2018-04-08 21:35:32.575; org.bitnick.web.litetorrent.runtime.cli.CommandLine; Initiliazing Client.
INFO  - 2018-04-08 21:35:32.607; com.turn.ttorrent.common.Torrent; Single-file torrent information:
INFO  - 2018-04-08 21:35:32.607; com.turn.ttorrent.common.Torrent;   Torrent name: Notepad++ 6.8.7 - DailyApp.rar
INFO  - 2018-04-08 21:35:32.608; com.turn.ttorrent.common.Torrent;   Announced at: Seems to be trackerless
INFO  - 2018-04-08 21:35:32.608; com.turn.ttorrent.common.Torrent;   Pieces......: 108 piece(s) (65536 byte(s)/piece)
INFO  - 2018-04-08 21:35:32.608; com.turn.ttorrent.common.Torrent;   Total size..: 7,067,632 byte(s)
DEBUG - 2018-04-08 21:35:32.610; com.turn.ttorrent.client.storage.FileStorage; Partial download found at C:\Users\Nick\Downloads\Notepad++ 6.8.7 - DailyApp.rar.part. Continuing...
INFO  - 2018-04-08 21:35:32.612; com.turn.ttorrent.client.storage.FileStorage; Initialized byte storage file at C:\Users\Nick\Downloads\Notepad++ 6.8.7 - DailyApp.rar.part (0+7067632 byte(s)).
INFO  - 2018-04-08 21:35:32.612; com.turn.ttorrent.client.storage.FileCollectionStorage; Initialized torrent byte storage on 1 file(s) (7067632 total byte(s)).
INFO  - 2018-04-08 21:35:32.694; com.turn.ttorrent.client.ConnectionHandler; Listening for incoming connections on cthulu/172.18.217.145:49152.
INFO  - 2018-04-08 21:35:32.696; com.turn.ttorrent.client.announce.Announce; Initialized announce sub-system with 0 trackers on Notepad++ 6.8.7 - DailyApp.rar.
INFO  - 2018-04-08 21:35:32.697; com.turn.ttorrent.client.Client; BitTorrent client [..663435] for Notepad++ 6.8.7 - DailyApp.rar started and listening at 172.18.217.145:49152...
DEBUG - 2018-04-08 21:35:32.697; org.bitnick.web.litetorrent.runtime.cli.CommandLine; Torrent file successfully loaded.
DEBUG - 2018-04-08 21:35:32.697; org.bitnick.web.litetorrent.runtime.cli.CommandLine; Download is starting...
INFO  - 2018-04-08 21:35:32.700; com.turn.ttorrent.client.SharedTorrent; Analyzing local data for Notepad++ 6.8.7 - DailyApp.rar with 16 threads (108 pieces)...
INFO  - 2018-04-08 21:35:32.703; com.turn.ttorrent.client.SharedTorrent;   ... 10% complete
INFO  - 2018-04-08 21:35:32.762; com.turn.ttorrent.client.SharedTorrent;   ... 20% complete
INFO  - 2018-04-08 21:35:32.764; com.turn.ttorrent.client.SharedTorrent;   ... 30% complete
INFO  - 2018-04-08 21:35:32.764; com.turn.ttorrent.client.SharedTorrent;   ... 40% complete
INFO  - 2018-04-08 21:35:32.766; com.turn.ttorrent.client.SharedTorrent;   ... 50% complete
INFO  - 2018-04-08 21:35:32.768; com.turn.ttorrent.client.SharedTorrent;   ... 60% complete
INFO  - 2018-04-08 21:35:32.768; com.turn.ttorrent.client.SharedTorrent;   ... 70% complete
INFO  - 2018-04-08 21:35:32.775; com.turn.ttorrent.client.SharedTorrent;   ... 80% complete
INFO  - 2018-04-08 21:35:32.777; com.turn.ttorrent.client.SharedTorrent;   ... 90% complete
DEBUG - 2018-04-08 21:35:32.789; com.turn.ttorrent.client.SharedTorrent; Notepad++ 6.8.7 - DailyApp.rar: we have 0/7067632 bytes (0.0%) [0/108 pieces].
INFO  - 2018-04-08 21:35:32.790; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:35:35.790; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:35:38.791; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:35:41.791; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:35:44.792; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:35:47.793; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:35:50.793; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:35:53.794; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:35:56.795; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:35:59.795; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:02.797; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:05.797; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:08.798; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:11.798; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:14.799; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:17.800; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:20.801; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:23.801; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:26.802; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:29.803; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:32.804; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:35.805; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:38.805; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:41.806; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:44.807; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:47.808; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:50.808; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:53.809; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
